1	AAAA	C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H](N)C(=O)O
2	AAAB	N[C@@H](CCCCNC(=O)[C@H]1CCC=N1)C(=O)O
3	AAAC	[H][C@](N)(CCCCNC(=O)[C@@H]1NC=C[C@@H]1C)C(=O)O
4	AAAD	N[C@@H](CCCCNC(=O)OC1CCCC1)C(=O)O
5	AAAE	N[C@@H](CCCCNC(=O)OC1CCCC1)C(=O)O
6	AAAF	CC(C)(C)OC(=O)NCCCC[C@H](N)C(=O)O
8	AAAH	C=CCOC(=O)NCCCC[C@H](N)C(=O)O
9	AAAI	C=CCCOC(=O)NCCCC[C@H](N)C(=O)O
10	AAAJ	C=CCCCOC(=O)NCCCC[C@H](N)C(=O)O
11	AAAK	C=CCCCCOC(=O)NCCCC[C@H](N)C(=O)O
12	AAAL	C=CCCCCCOC(=O)NCCCC[C@H](N)C(=O)O
13	AAAM	C=CCCCCCCOC(=O)NCCCC[C@H](N)C(=O)O
14	AAAN	C=CCCCCCCCOC(=O)NCCCC[C@H](N)C(=O)O
15	AAAO	C=CCCCCCCCCOC(=O)NCCCC[C@H](N)C(=O)O
16	AAAP	N[C@@H](CCCCNC(=O)[C@H]1CCCO1)C(=O)O
17	AAAQ	C#CC1CCO[C@H]1C(=O)NCCCC[C@H](N)C(=O)O
18	AAAR	C#CC1CCO[C@H]1C(=O)NCCCC[C@H](N)C(=O)O
19	AAAS	C#CC[C@@H](O)C(=O)NCCCC[C@H](N)C(=O)O
20	AAAT	C#CC[C@@H](OC)C(=O)NCCCC[C@H](N)C(=O)O
21	AAAU	C#CC[C@@H](N)C(=O)NCCCC[C@H](N)C(=O)O
22	AAAV	C#CC[C@@H](N)C(=O)OCCCC[C@H](N)C(=O)O
23	AAAW	[N-]=[N+]=NCCOC(=O)NCCCC[C@H](N)C(=O)O
24	AAAX	[N-]=[N+]=NCCCOC(=O)NCCCC[C@H](N)C(=O)O
25	AAAY	[N-]=[N+]=N[C@@H]1CCC[C@H]1OC(=O)NCCCC[C@H](N)C(=O)O
26	AAAZ	N[C@@H](CCCCNC(=O)OC1CC2C=CC1C2)C(=O)O
27	AABA	N[C@@H](CCCCNC(=O)OCC1CC2C=CC1C2)C(=O)O
28	AABB	N[C@@H](CCCCNC(=O)[C@H](N)CS)C(=O)O
29	AABC	N[C@@H](CCCCNC(=O)[C@@H](N)CS)C(=O)O
30	AABD	N[C@@H](CCCCNC(=O)[C@@H]1CSCN1)C(=O)O
31	AABE	C=CCOC(=O)N(C)CCCC[C@H](N)C(=O)O
32	AABF	[H][C@](N)(CCCCN)C(=O)O
33	AABG	[H][C@](N)(CCCCNC)C(=O)O
34	AAAH	N[C@@H](CCCCNC=O)C(=O)O
35	AABI	CC(=O)NCCCC[C@H](N)C(=O)O
36	AABJ	CCC(=O)NCCCC[C@H](N)C(=O)O
37	AABK	CCCC(=O)NCCCC[C@H](N)C(=O)O
38	AABL	C=CC(=O)NCCCC[C@H](N)C(=O)O
39	AABM	C/C=C/C(=O)NCCCC[C@H](N)C(=O)O
40	AABN	N[C@@H](CCCCNC(=O)OC1=CC=CC=C1)C(=O)O
41	AABO	N[C@@H](CCCCNC(=O)OC1=CC=C(F)C=C1)C(=O)O
42	AABP	NC1=C(COC(=O)NCCCC[C@H](N)C(=O)O)C=CC=C1
43	AABQ	[N-]=[N+]=NC1=CC=CC(COC(=O)NCCCC[C@H](N)C(=O)O)=C1
44	AABR	[N-]=[N+]=NC1=CC=C(COC(=O)NCCCC[C@H](N)C(=O)O)C=C1
45	AABS	[N-]=[N+]=NC1=CC(N)=CC(COC(=O)NCCCC[C@H](N)C(=O)O)=C1
46	AABT	N[C@@H](CCCCNC(=O)OCC1=CC=C(I)C=C1)C(=O)O
47	AABU	C#CCCCOC(=O)NCCCC[C@H](N)C(=O)O
48	AABV	C#CCCOC(=O)NCCCC[C@H](N)C(=O)O
49	AABW	C#CCOC(=O)NCCCC[C@H](N)C(=O)O
50	AABX	C#CCCCCOC(=O)NCCCC[C@H](N)C(=O)O
51	AABY	C#CC1=C(COC(=O)NCCCCC(N)C(=O)O)C=CC=C1
52	AABZ	NC(CCCCNC(=O)OCC1=C(Br)C=CC=C1)C(=O)O
53	AACA	C#CC1=CC=CC(COC(=O)NCCCC[C@H](N)C(=O)O)=C1
54	AACB	NC(CCCCNC(=O)OCC1=C(Cl)C=CC=C1)C(=O)O
55	AACC	C[Si](C)(C)COC(=O)NCCCC[C@H](N)C(=O)O
56	AACD	C#CC1=CC=C(COC(=O)NCCCCC(N)C(=O)O)C=C1
57	AACE	N[C@@H](CCCCNC(=O)OC1/C=C\CCCCC1)C(=O)O
58	AACF	[H]/C1=C(/[H])CC[C@@H](OC(=O)NCCCC[C@H](N)C(=O)O)CCC1
59	AACG	[H][C@@]12CCC#CCC[C@]1([H])[C@H]2COC(=O)NCCCC[C@H](N)C(=O)O
60	AACH	[H]/C1=C(/[H])CC[C@]2([H])[C@@H](COC(=O)NCCCC[C@H](N)C(=O)O)[C@]2([H])CC1
61	AACI	CC1(CCOC(=O)NCCCC[C@H](N)C(=O)O)N=N1
62	AACJ	CC1(CCCOC(=O)NCCCC[C@H](N)C(=O)O)N=N1
63	AACK	CC1(CCCNC(=O)NCCCC[C@H](N)C(=O)O)N=N1
64	AACL	CC1(CCCOC(=O)NCC[Se]C[C@H](N)C(=O)O)N=N1
65	AACM	CC1(CCCNC(=O)CC[Se]CC[C@H](N)C(=O)O)N=N1
66	AACN	C#CCCC1(CCNC(=O)C[Se]CCC(N)C(=O)O)N=N1
67	AACO	C#CCOCC1(COC(=O)NCCCC[C@H](N)C(=O)O)N=N1
68	AACP	C#CCOCC1(COC(=O)NCCCC[C@H](N)C(=O)O)N=N1
69	AACQ	N[C@@H](CCCCNC(=O)OCC1=CC=C(C2(C(F)(F)F)N=N2)C=C1)C(=O)O
70	AACR	N[C@@H](CCCCNC(=O)OCC1=CC(C2(C(F)(F)F)N=N2)=CC=C1)C(=O)O
71	AACS	CC(OC(=O)NCCCC[C@H](N)C(=O)O)C1=CC2=C(C=C1[N+](=O)[O-])OCO2
72	AACT	C[C@@H](OC(=O)NCSCC[C@H](N)C(=O)O)C1=CC2=C(C=C1[N+](=O)[O-])OCO2
73	AACU	N[C@@H](CCCCNC(=O)OCC1=CC=CC=C1)C(=O)O
74	AACV	N[C@@H](CSCCNC(=O)OCC1=CC=CC=C1)C(=O)O
75	AACW	N[C@@H](C[Se]CCNC(=O)OCC1=CC=CC=C1)C(=O)O
76	AACX	CN(CCCC[C@H](N)C(=O)O)C(=O)OCC1=CC=CC=C1
77	AACY	N[C@@H](CCCCNC(=O)OCC1=CC=CC=C1[N+](=O)[O-])C(=O)O
78	AACZ	CN(CCCC[C@H](N)C(=O)O)C(=O)OCC1=CC=CC=C1[N+](=O)[O-]
79	AADA	CN(CCCC[C@H](N)C(=O)O)C(=O)OC(C)(C)C
80	AADB	CC(C)(C)OC(=O)NCC(O)CC[C@H](N)C(=O)O
81	AADC	CC(C)(C)OC(=O)NCC(S)CC[C@H](N)C(=O)O
82	AADD	N[C@@H](CCC(O)CNC(=O)OCC1=CC=C([N+](=O)[O-])C=C1)C(=O)O
83	AADE	N[C@@H](CCC(S)CNC(=O)OCC1=CC=C([N+](=O)[O-])C=C1)C(=O)O
84	AADF	N[C@@H](CCCCNC(=O)OCC1=CC=C([N+](=O)[O-])C=C1)C(=O)O
85	AADG	N[C@@H](CCCCNC(=O)OCCC1=CC=CO1)C(=O)O
86	AADH	CC1(C)C=C(COC(=O)NCCCC[C@H](N)C(=O)O)C(C)(C)N1O
87	AADI	CC(=O)CCCCCC(N)C(=O)O
88	AADJ	[H][C@](N)(CCCCNC(=O)[C@@H]1CCCN1)C(=O)O
89	AADK	N[C@H](CCCCNC(=O)C1=CN=CC=C1)C(=O)O
90	AADL	CNC1=C([C@@H](O)NCCCCC(N)C(=O)O)C=CC=C1
91	AADM	N[C@@H](CCCCNC(=O)[C@H]1CCOC1)C(=O)O
92	AADN	N[C@@H](CCCCNC(=O)[C@@H]1CCOC1)C(=O)O
93	AADO	N[C@@H](CCCCNC(=O)C1=CC=CS1)C(=O)O
94	AADP	N[C@H](CCCCNC(=O)C1=CC=CC=C1)C(=O)O
95	AADQ	N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)O
96	AADR	N[C@@H](CCCCNC(=O)CCCCCBr)C(=O)O
97	AADS	N[C@@H](CCCCNC(=O)CCCCCCBr)C(=O)O
98	AADT	CN1C=CC=C1N1N=NC(C(=O)NCCCC[C@H](N)C(=O)O)=N1
99	AADU	N[C@@H](CCCCNC(=O)C1=NN(C2=CC=CN2)N=N1)C(=O)O
100	AADV	N[C@@H](CCCCNC(=O)C1=NN(C2=CC=CO2)N=N1)C(=O)O
101	AADW	N[C@@H](CCCCNC(=O)C1=NN(C2=CC=CS2)N=N1)C(=O)O
102	AADX	N[C@@H](CCCCNC(=O)C1=NN(C2=CC=CC=C2)N=N1)C(=O)O
103	AADY	N[C@@H](CCCCNC(=O)OCC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O
104	AADZ	NC(CCCCNC(=O)CC1=CC=CC=C1[N+](=O)[O-])C(=O)O
105	A	NC(CCCCNC(=O)CC1=CC=C([N+](=O)[O-])C=C1)C(=O)O
106	B	N[C@@H](CCCCNC(=O)OCC1=CC(=O)OC2=CC(O)=CC=C12)C(=O)O
107	C	N[C@@H](CCCCNC(=O)OCC1=CC(=O)OC2=CC(O)=C(Br)C=C12)C(=O)O
108	D	N[C@@H](CCCCNC(=O)OCCC1=CC(=O)OC2=CC(O)=CC=C12)C(=O)O
109	E	N[C@@H](CCCCNC(=O)O[C@@H]1/C=C\CCCCC1)C(=O)O
110	F	N[C@@H](CCCCNC(=O)OCCOC1/C=C/COCOC1)C(=O)O
111	G	N[C@@H](CCCCNC(=O)C1=CC2=C(C=C1)CC/C=C\CC2)C(=O)O
112	H	N[C@@H](CCCCNC(=O)OCCOCCN1C(=O)O[C@@H]2CC/C=C/CC[C@H]21)C(=O)O
113	I	N[C@@H](CCCCNC(=O)O/C=C/N1C(=O)O[C@@H]2CC/C=C/CC[C@H]21)C(=O)O
114	J	N[C@@H](CCCCNC(=O)CF)C(=O)O
115	K	CC1(C(=O)NCCCC[C@H](N)C(=O)O)C=C1
116	L	CC1CC1COC(=O)NCCCC[C@H](N)C(=O)O
117	M	N[C@@H](CCCCNC(=O)OCC1CC2(C=C2)C1)C(=O)O
118	N	N[C@@H](CCCCNC(=O)OCC(F)(F)F)C(=O)O
119	O	N[C@@H](CCCCNC(=O)OCC(F)(F)C(F)(F)F)C(=O)O
120	P	N[C@@H](CCCCNC(=O)OCC(F)(F)C(F)(F)C(F)(F)F)C(=O)O
121	Q	N[C@@H](CCCCNC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O
122	R	N[C@@H](CCCCNC(=O)OCCC(C(F)(F)F)C(F)(F)F)C(=O)O
123	S	NC(CCCCNC(=O)OCC1=CC(F)=C(F)C(F)=C1)C(=O)O
124	T	NC(CCCCNC(=O)OCC1=CC=C(C(F)(F)F)C=C1)C(=O)O
125	U	CC(C)=CCC/C(C)=C/COC(=O)NCCCC[C@H](N)C(=O)O
126	V	CC(C)=CCC/C(C)=C\COC(=O)NCCCC[C@H](N)C(=O)O
127	W	C/C=C/C=C/COC(=O)NCCCCC(N)C(=O)O
128	X	N[C@@H](CCCCNC(=O)OCC1=CC=CC=N1)C(=O)O
129	Y	NC(CCCCNC(=O)OCCC1=CC=CS1)C(=O)O
131	AA	N[C@@H](CCCCNC(=O)OCC1=CC(=O)OC2=C1C=CC(O)=C2)C(=O)O
132	AB	NC(CCCCNC(=O)OCCCCCC1SCC2NC(=O)NC21)C(=O)O
134	AD	N[C@@H](CC1=CC=CC=C1)C(=O)O
135	AE	CC(=O)[C@@H](N)CC1=CC=C(Br)C=C1
136	AF	N[C@@H](CC1=CC=C(I)C=C1)C(=O)O
137	AG	CC(C)(C)OC1=CC=C(C[C@H](N)C(=O)O)C=C1
138	AH	COC1=CC=C(C[C@H](N)C(=O)O)C=C1
139	AI	C#CCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
140	AJ	C=CCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
141	AK	C=CCCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
142	AL	C=CCCCOC1=CC=C(C[C@H](N)C(=O)O)C=C1
143	AM	N[C@@H](CC1=CC=C(OCC2=CC=CC=C2)C=C1)C(=O)O
